filename,Condition,TITLE,AUTHOR,LOCATION
00portr1,Renaissance,Portrait of a Man and a Woman,"LIPPI, Fra Filippo","Metropolitan Museum of Art, New York"
0149burg,Renaissance,Portrait of Anthony of Burgundy,"MEMLING, Hans","Gemäldegalerie, Dresden"
01altovi,Renaissance,Portrait of Bindo Altoviti,RAFFAELLO Sanzio,"National Gallery of Art, Washington"
01amerba,Renaissance,Portrait of Bonifacius Amerbach,"HOLBEIN, Hans the Younger","Kunstmuseum, Öffentliche Kunstsammlung, Basel"
01berck,Renaissance,Derick Berck of Cologne,"HOLBEIN, Hans the Younger","Metropolitan Museum of Art, New York"
01bluesl,Renaissance,Man with the Blue Sleeve,TIZIANO Vecellio,"National Gallery, London"
01castig,Renaissance,Portrait of Baldassare Castiglione,RAFFAELLO Sanzio,"Musée du Louvre, Paris"
01father,Renaissance,Portrait of Dürer's Father at 70,"DÜRER, Albrecht","National Gallery, London"
01fillas1,Renaissance,Portrait of a Man (Guillaume Fillastre?),"WEYDEN, Rogier van der","Courtauld Gallery, London"
01lucret,Renaissance,Portrait of a Lady as Lucretia,"LOTTO, Lorenzo","National Gallery, London"
01luthe2,Renaissance,Portrait of Hans Luther (detail),"CRANACH, Lucas the Elder","Wartburg-Stiftung, Eisenach"
01luthe3,Renaissance,Portrait of Margaretha Luther (detail),"CRANACH, Lucas the Elder","Wartburg-Stiftung, Eisenach"
01mother,Renaissance,Portrait of Barbara Dürer,"DÜRER, Albrecht","Germanisches Nationalmuseum, Nuremberg"
01popeju,Renaissance,Portrait of Pope Julius II,TIZIANO Vecellio,"Galleria Palatina (Palazzo Pitti), Florence"
01portra,Renaissance,Jean Carondelet,"GOSSART, Jan","Toledo Museum of Art, Toledo, Ohio"
01princ1,Renaissance,A Prince of Saxony,"CRANACH, Lucas the Elder","National Gallery of Art, Washington"
01princ2,Renaissance,A Princess of Saxony,"CRANACH, Lucas the Elder","National Gallery of Art, Washington"
01princ3,Renaissance,Portrait of a Saxon Prince,"CRANACH, Lucas the Elder","Musée de la Ville, Reims"
01southw,Renaissance,Sir Richard Southwell,"HOLBEIN, Hans the Younger","Galleria degli Uffizi, Florence"
01veneti,Renaissance,Portrait of a Young Venetian Woman,"DÜRER, Albrecht","Kunsthistorisches Museum, Vienna"
01woman,Renaissance,Portrait of a Woman,"CARPACCIO, Vittore","Galleria Borghese, Rome"
01young,Renaissance,Portrait of a Clean-Shaven Young Man,"CRANACH, Lucas the Elder","Hessische Hausstiftung, Kronberg"
01youngm,Renaissance,Portrait of a Young Man,RAFFAELLO Sanzio,"Museo Thyssen-Bornemisza, Madrid"
021woman,Renaissance,Portrait of a Young Woman,"CARPACCIO, Vittore",Private collection
0245savo,Renaissance,Portrait of Jacques of Savoy,"MEMLING, Hans","Öffentliche Kunstsammlung, Basel"
02beard,Renaissance,Portrait of a White-Bearded Man,TINTORETTO,"Kunsthistorisches Museum, Vienna"
02cuspi2,Renaissance,Portrait of Dr. Johannes Cuspinian (detail),"CRANACH, Lucas the Elder","Oskar Reinhart Collection, Winterthur"
02cuspi5,Renaissance,Portrait of Anna Cuspinian,"CRANACH, Lucas the Elder","Oskar Reinhart Collection, Winterthur"
02father,Renaissance,Portrait of Dürer's Father,"DÜRER, Albrecht","Galleria degli Uffizi, Florence"
02george,Renaissance,Portrait of Simon George,"HOLBEIN, Hans the Younger","Städelsches Kunstinstitut, Frankfurt"
02gloves,Renaissance,Young Man with Cap and Gloves,TIZIANO Vecellio,"Garrowby Hall, Earl of Halifax Collection, London"
02hair_l,Renaissance,Portrait of a Young Fürleger with Loose Hair,"DÜRER, Albrecht","Städelsches Kunstinstitut, Frankfurt"
02hat,Renaissance,Portrait of a Man with a Felt Hat,"LOTTO, Lorenzo","National Gallery of Canada, Ottawa"
02henry8,Renaissance,Henry VIII,"HOLBEIN, Hans the Younger","Walker Art Gallery, Liverpool"
02inghir,Renaissance,Portrait of Tommaso Inghirami,RAFFAELLO Sanzio,"Galleria Palatina (Palazzo Pitti), Florence"
02lady,Renaissance,Portrait of a Lady,"BOTTICELLI, Sandro","Victoria and Albert Museum, London"
02laura,Renaissance,Portrait of a Young Woman (Laura),GIORGIONE,"Kunsthistorisches Museum, Vienna"
02luthe1,Renaissance,Martin Luther as an Augustinian Monk in a Doctoral Hat,"CRANACH, Lucas the Elder",Private collection
02luthe2,Renaissance,Portrait of Martin Luther as Junker Jörg,"CRANACH, Lucas the Elder","Museum der Bildenden Künste, Leipzig"
02peelin,Renaissance,Boy Peeling a Fruit,CARAVAGGIO,"Fondazione di Studi di Storia dell'Arte Roberto Longhi, Florence"
02popepa,Renaissance,Pope Paul III,TIZIANO Vecellio,"Museo Nazionale di Capodimonte, Naples"
02redber,Renaissance,Portrait of an Unknown Man with Red Beret,"CARPACCIO, Vittore","Museo Correr, Venice"
02seymou,Renaissance,"Jane Seymour, Queen of England","HOLBEIN, Hans the Younger","Kunsthistorisches Museum, Vienna"
02sick,Renaissance,The Sick Man,TIZIANO Vecellio,"Galleria degli Uffizi, Florence"
02speyer,Renaissance,Portrait of Burkard von Speyer,"DÜRER, Albrecht","Royal Collection, Windsor"
02wise,Renaissance,Portrait of Frederick the Wise in Old Age,"CRANACH, Lucas the Elder","Hessisches Landesmuseum, Darmstadt"
02young,Renaissance,Young Man in a Striped Coat,"LOTTO, Lorenzo","Castello Sforzesco, Milan"
0302grec,Renaissance,Giulio Clovio,"GRECO, El","Museo Nazionale di Capodimonte, Naples"
0305grec,Renaissance,Vincenzo Anastagi,"GRECO, El","Frick Collection, New York"
03beard,Renaissance,Portrait of a Bearded Man,"CRANACH, Lucas the Elder","Museum zu Allerheiligen, Schaffhausen"
03boy_fr,Renaissance,Boy with a Basket of Fruit,CARAVAGGIO,"Galleria Borghese, Rome"
03denmar,Renaissance,"Christina of Denmark, Ducchess of Milan","HOLBEIN, Hans the Younger","National Gallery, London"
03gloves,Renaissance,Portrait of a Gentleman with Gloves,"LOTTO, Lorenzo","Pinacoteca di Brera, Milan"
03hair_d,Renaissance,Portrait of a Young Fürleger with Her Hair Done Up,"DÜRER, Albrecht","Staatliche Museen, Berlin"
03juris1,Renaissance,Portrait of a Jurist,"CRANACH, Lucas the Elder","Germanisches Nationalmuseum, Nuremberg"
03juris2,Renaissance,Portrait of the Jurist's Wife,"CRANACH, Lucas the Elder","Staatliche Museen, Berlin"
03knight,Renaissance,Portrait of a Knight,"CARPACCIO, Vittore","Museo Thyssen-Bornemisza, Madrid"
03lynx1,Renaissance,Portrait of a Young Man Wearing Lynx Fur,"VERONESE, Paolo","Szépmûvészeti Múzeum, Budapest"
