TITLE,AUTHOR,LOCATION,Search,Hits,Success,ERROR,Date
Portrait of Gerolamo Casio,"BOLTRAFFIO, Giovanni Antonio","Pinacoteca di Brera, Milan","""Portrait of Gerolamo Casio"" BOLTRAFFIO, Giovanni Antonio Pinacoteca di Brera, Milan",10,ok,,2025-08-28T08:27:06Z
Portrait of the Infanta Catalina Micaela,"SANCHEZ COELLO, Alonso","The Hermitage, St. Petersburg","""Portrait of the Infanta Catalina Micaela"" SANCHEZ COELLO, Alonso The Hermitage, St. Petersburg",51,ok,,2025-08-28T08:27:07Z
Count Fortunato Martinengo Cesaresco,MORETTO da Brescia,"National Gallery, London","""Count Fortunato Martinengo Cesaresco"" MORETTO da Brescia National Gallery, London",25,ok,,2025-08-28T08:27:08Z
Portrait of King Charles IX of France,"CLOUET, François","Kunsthistorisches Museum, Vienna","""Portrait of King Charles IX of France"" CLOUET, François Kunsthistorisches Museum, Vienna",96,ok,,2025-08-28T08:27:10Z
Portrait of Scholar Petrus von Clapis,"BRUYN, Barthel the Elder","Szépmûvészeti Múzeum, Budapest","""Portrait of Scholar Petrus von Clapis"" BRUYN, Barthel the Elder Szépmûvészeti Múzeum, Budapest",0,ok,,2025-08-28T08:27:11Z
Pope Clement VII,SEBASTIANO DEL PIOMBO,"Museo e Gallerie Nazionali di Capodimonte, Naples","""Pope Clement VII"" SEBASTIANO DEL PIOMBO Museo e Gallerie Nazionali di Capodimonte, Naples",339,ok,,2025-08-28T08:27:12Z
"Portrait of George Clifford, Earl of Cumberland","HILLIARD, Nicholas","National Maritime Museum, Greenwich","""Portrait of George Clifford, Earl of Cumberland"" HILLIARD, Nicholas National Maritime Museum, Greenwich",99,ok,,2025-08-28T08:27:13Z
Portrait of Marcantonio Colonna,"PULZONE, Scipione","Galleria Colonna, Rome","""Portrait of Marcantonio Colonna"" PULZONE, Scipione Galleria Colonna, Rome",40,ok,,2025-08-28T08:27:15Z
Portrait of a Man (Il Condottiere),ANTONELLO da Messina,"Musée du Louvre, Paris","""Portrait of a Man (Il Condottiere)"" ANTONELLO da Messina Musée du Louvre, Paris",31,ok,,2025-08-28T08:27:16Z
Portrait of Jacopo Foscarini,"MORONI, Giovanni Battista","Szépmûvészeti Múzeum, Budapest","""Portrait of Jacopo Foscarini"" MORONI, Giovanni Battista Szépmûvészeti Múzeum, Budapest",13,ok,,2025-08-28T08:27:17Z
Self-Portrait in a Convex Mirror,PARMIGIANINO,"Kunsthistorisches Museum, Vienna","""Self-Portrait in a Convex Mirror"" PARMIGIANINO Kunsthistorisches Museum, Vienna",711,ok,,2025-08-28T08:27:19Z
"Portrait of Caterina Cornaro, Queen of Cyprus","BELLINI, Gentile","Szépmûvészeti Múzeum, Budapest","""Portrait of Caterina Cornaro, Queen of Cyprus"" BELLINI, Gentile Szépmûvészeti Múzeum, Budapest",28,ok,,2025-08-28T08:27:20Z
Portrait of Cosimo I de' Medici in Armour,"BRONZINO, Agnolo","Art Gallery of New South Wales, Sydney","""Portrait of Cosimo I de' Medici in Armour"" BRONZINO, Agnolo Art Gallery of New South Wales, Sydney",58,ok,,2025-08-28T08:27:21Z
Portrait of Cosimo I de' Medici,"BRONZINO, Agnolo","The Hermitage, St. Petersburg","""Portrait of Cosimo I de' Medici"" BRONZINO, Agnolo The Hermitage, St. Petersburg",485,ok,,2025-08-28T08:27:22Z
An Elizabethan Courtier,"CUSTODIS, Hieronymos",Private collection,"""An Elizabethan Courtier"" CUSTODIS, Hieronymos Private collection",6,ok,,2025-08-28T08:27:23Z
Diego de Covarrubias,"SANCHEZ COELLO, Alonso","Museo de El Greco, Toledo","""Diego de Covarrubias"" SANCHEZ COELLO, Alonso Museo de El Greco, Toledo",152,ok,,2025-08-28T08:27:24Z
Prince Don Carlos of Austria,"SANCHEZ COELLO, Alonso","Museo del Prado, Madrid","""Prince Don Carlos of Austria"" SANCHEZ COELLO, Alonso Museo del Prado, Madrid",54,ok,,2025-08-28T08:27:26Z
