"","confidence","headYaw","headPitch","gazeYaw","gazePitch","filename","ACNo.","画題等","画題２","役名.代.役者","版元文字","版元1","判種","続方向","落款印章","絵師","改印等","西暦","和暦","地域","劇場","外題","外題よみ","所作題","所作題よみ","主外題","系統分類題","所蔵","画中文字","homeURL","SmallImageURL","LargeImageURL","year"
"1",0.525,25.6685092218609,11.6883390206688,-28.9343686541066,23.7204527184161,"arcBK01-0042_36(P)","arcBK01-0042_36(P)","","","","","","中判/錦絵","横","広貞","広貞","",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0042_36(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0042/arcBK01-0042_36(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0042/arcBK01-0042_36(P).jpg",NA
"2",0.875,43.7166797684818,19.6524523729872,-20.6837764042227,19.5378608139611,"arcBK01-0042_73","arcBK01-0042_73","「忠孝武勇伝」","「三七のぶ孝」","","","","中判/錦絵","横","広貞","広貞","－",1849,"嘉永０２","大坂","中","","","","","けいせい石川染","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0042_73","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0042/arcBK01-0042_73.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0042/arcBK01-0042_73.jpg",1849
"3",0.875,19.2513819163957,11.3445643435903,-20.855663742762,12.547775713365,"arcBK01-0042_74(F)","arcBK01-0042_74(F)","","","","","","中判/錦絵","横","猿雀","猿雀","",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0042_74(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0042/arcBK01-0042_74(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0042/arcBK01-0042_74(F).jpg",NA
"4",0.875,28.3041150794627,18.9649030188302,-26.1268754579655,26.3560585760179,"arcBK01-0043-39","arcBK01-0043-39","「武道名誉伝」","「仁木だん正」","","","","中判/錦絵","横","一樹亭国升画","国升","－",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0043-39","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0043/arcBK01-0043-39.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0043/arcBK01-0043-39.jpg",NA
"5",0.975,27.9603404023842,42.2269895011417,-23.2620864823114,39.5340878640268,"arcBK01-0044_16","arcBK01-0044_16","「堂しま救入船」","「かまくらや五郎八　三枡源之助」","","","","中判/錦絵","横","芳滝画","芳滝","－",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0044_16","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_16.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_16.jpg",NA
"6",0.775,-25.3247345447824,18.105466326134,26.6998332530964,19.0794945778564,"arcBK01-0044_68","arcBK01-0044_68","「色競九重錦」","「おりう」」","","","","中判/錦絵","横","芳滝画","芳滝","－",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0044_68","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_68.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_68.jpg",NA
"7",0.025,-12.1467052567735,20.3972975066573,6.93278932108296,11.1726770050511,"arcBK01-0044_73(P)","arcBK01-0044_73(P)","","","","","","中判/錦絵","横","芳滝画","芳滝","",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0044_73(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_73(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_73(P).jpg",NA
"8",0.875,18.3919452236994,33.9191014717447,-20.2254101681181,36.4401157703204,"arcBK01-0044_73(P)","arcBK01-0044_73(P)","","","","","","中判/錦絵","横","芳滝画","芳滝","",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcBK01-0044_73(P)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_73(P).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Books/arcBK/arcBK01-0044/arcBK01-0044_73(P).jpg",NA
"9",0.825,-45.7220320514397,11.2299727845641,38.7319469508436,21.3713257583797,"arcPC0001-018","arcPC0001-018","「忠臣蔵」","","","","","絵葉書（スカシ絵）","","","","",NA,"","","","","","","","","歌舞伎","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcPC0001-018","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Postcards/arcPC/arcPC0001/arcPC0001-018.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Postcards/arcPC/arcPC0001/arcPC0001-018.jpg",NA
"10",0.825,-71.5051328323267,19.9962270500657,46.4668771851098,25.0955514267301,"arcPC0001-020(S)","arcPC0001-020(S)","","","","","","絵葉書","","","","",NA,"","","","","","","","","歌舞伎","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcPC0001-020(S)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Postcards/arcPC/arcPC0001/arcPC0001-020(S).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Postcards/arcPC/arcPC0001/arcPC0001-020(S).jpg",NA
