TITLE,AUTHOR,LOCATION,ia_hits,worldcat_hits,hathitrust_hits,worldcat_oclc_used
Portrait of a Man and a Woman,"LIPPI, Fra Filippo","Metropolitan Museum of Art, New York",0,0,0,
Portrait of Anthony of Burgundy,"MEMLING, Hans","Gemäldegalerie, Dresden",0,0,0,
Portrait of Bindo Altoviti,RAFFAELLO Sanzio,"National Gallery of Art, Washington",0,0,0,
Portrait of Bonifacius Amerbach,"HOLBEIN, Hans the Younger","Kunstmuseum, Öffentliche Kunstsammlung, Basel",0,0,0,
Derick Berck of Cologne,"HOLBEIN, Hans the Younger","Metropolitan Museum of Art, New York",0,0,0,
Man with the Blue Sleeve,TIZIANO Vecellio,"National Gallery, London",0,0,0,
Portrait of Baldassare Castiglione,RAFFAELLO Sanzio,"Musée du Louvre, Paris",0,0,0,
Portrait of Dürer's Father at 70,"DÜRER, Albrecht","National Gallery, London",0,0,0,
Portrait of a Man (Guillaume Fillastre?),"WEYDEN, Rogier van der","Courtauld Gallery, London",0,0,0,
Portrait of a Lady as Lucretia,"LOTTO, Lorenzo","National Gallery, London",0,0,0,
Portrait of Hans Luther (detail),"CRANACH, Lucas the Elder","Wartburg-Stiftung, Eisenach",0,0,0,
Portrait of Margaretha Luther (detail),"CRANACH, Lucas the Elder","Wartburg-Stiftung, Eisenach",0,0,0,
Portrait of Barbara Dürer,"DÜRER, Albrecht","Germanisches Nationalmuseum, Nuremberg",0,0,0,
Portrait of Pope Julius II,TIZIANO Vecellio,"Galleria Palatina (Palazzo Pitti), Florence",0,0,0,
Jean Carondelet,"GOSSART, Jan","Toledo Museum of Art, Toledo, Ohio",0,0,0,
A Prince of Saxony,"CRANACH, Lucas the Elder","National Gallery of Art, Washington",0,0,0,
A Princess of Saxony,"CRANACH, Lucas the Elder","National Gallery of Art, Washington",0,0,0,
Portrait of a Saxon Prince,"CRANACH, Lucas the Elder","Musée de la Ville, Reims",0,0,0,
Sir Richard Southwell,"HOLBEIN, Hans the Younger","Galleria degli Uffizi, Florence",0,0,0,
Portrait of a Young Venetian Woman,"DÜRER, Albrecht","Kunsthistorisches Museum, Vienna",0,0,0,
Portrait of a Woman,"CARPACCIO, Vittore","Galleria Borghese, Rome",0,0,0,
Portrait of a Clean-Shaven Young Man,"CRANACH, Lucas the Elder","Hessische Hausstiftung, Kronberg",0,0,0,
Portrait of a Young Man,RAFFAELLO Sanzio,"Museo Thyssen-Bornemisza, Madrid",0,0,0,
Portrait of a Young Woman,"CARPACCIO, Vittore",Private collection,0,0,0,
Portrait of Jacques of Savoy,"MEMLING, Hans","Öffentliche Kunstsammlung, Basel",0,0,0,
Portrait of a White-Bearded Man,TINTORETTO,"Kunsthistorisches Museum, Vienna",0,0,0,
Portrait of Dr. Johannes Cuspinian (detail),"CRANACH, Lucas the Elder","Oskar Reinhart Collection, Winterthur",0,0,0,
Portrait of Anna Cuspinian,"CRANACH, Lucas the Elder","Oskar Reinhart Collection, Winterthur",0,0,0,
Portrait of Dürer's Father,"DÜRER, Albrecht","Galleria degli Uffizi, Florence",0,0,0,
Portrait of Simon George,"HOLBEIN, Hans the Younger","Städelsches Kunstinstitut, Frankfurt",0,0,0,
Young Man with Cap and Gloves,TIZIANO Vecellio,"Garrowby Hall, Earl of Halifax Collection, London",0,0,0,
Portrait of a Young Fürleger with Loose Hair,"DÜRER, Albrecht","Städelsches Kunstinstitut, Frankfurt",0,0,0,
Portrait of a Man with a Felt Hat,"LOTTO, Lorenzo","National Gallery of Canada, Ottawa",0,0,0,
Henry VIII,"HOLBEIN, Hans the Younger","Walker Art Gallery, Liverpool",0,0,0,
Portrait of Tommaso Inghirami,RAFFAELLO Sanzio,"Galleria Palatina (Palazzo Pitti), Florence",0,0,0,
Portrait of a Lady,"BOTTICELLI, Sandro","Victoria and Albert Museum, London",0,0,0,
Portrait of a Young Woman (Laura),GIORGIONE,"Kunsthistorisches Museum, Vienna",0,0,0,
Martin Luther as an Augustinian Monk in a Doctoral Hat,"CRANACH, Lucas the Elder",Private collection,0,0,0,
Portrait of Martin Luther as Junker Jörg,"CRANACH, Lucas the Elder","Museum der Bildenden Künste, Leipzig",0,0,0,
Boy Peeling a Fruit,CARAVAGGIO,"Fondazione di Studi di Storia dell'Arte Roberto Longhi, Florence",0,0,0,
Pope Paul III,TIZIANO Vecellio,"Museo Nazionale di Capodimonte, Naples",0,0,0,
Portrait of an Unknown Man with Red Beret,"CARPACCIO, Vittore","Museo Correr, Venice",0,0,0,
"Jane Seymour, Queen of England","HOLBEIN, Hans the Younger","Kunsthistorisches Museum, Vienna",0,0,0,
The Sick Man,TIZIANO Vecellio,"Galleria degli Uffizi, Florence",0,0,0,
Portrait of Burkard von Speyer,"DÜRER, Albrecht","Royal Collection, Windsor",0,0,0,
Portrait of Frederick the Wise in Old Age,"CRANACH, Lucas the Elder","Hessisches Landesmuseum, Darmstadt",0,0,0,
Young Man in a Striped Coat,"LOTTO, Lorenzo","Castello Sforzesco, Milan",0,0,0,
Giulio Clovio,"GRECO, El","Museo Nazionale di Capodimonte, Naples",0,0,0,
Vincenzo Anastagi,"GRECO, El","Frick Collection, New York",0,0,0,
Portrait of a Bearded Man,"CRANACH, Lucas the Elder","Museum zu Allerheiligen, Schaffhausen",0,0,0,
Boy with a Basket of Fruit,CARAVAGGIO,"Galleria Borghese, Rome",0,0,0,
"Christina of Denmark, Ducchess of Milan","HOLBEIN, Hans the Younger","National Gallery, London",0,0,0,
Portrait of a Gentleman with Gloves,"LOTTO, Lorenzo","Pinacoteca di Brera, Milan",0,0,0,
Portrait of a Young Fürleger with Her Hair Done Up,"DÜRER, Albrecht","Staatliche Museen, Berlin",0,0,0,
Portrait of a Jurist,"CRANACH, Lucas the Elder","Germanisches Nationalmuseum, Nuremberg",0,0,0,
Portrait of the Jurist's Wife,"CRANACH, Lucas the Elder","Staatliche Museen, Berlin",0,0,0,
Portrait of a Knight,"CARPACCIO, Vittore","Museo Thyssen-Bornemisza, Madrid",0,0,0,
Portrait of a Young Man Wearing Lynx Fur,"VERONESE, Paolo","Szépmûvészeti Múzeum, Budapest",0,0,0,
Gentleman in a Lynx Fur,"VERONESE, Paolo","Galleria Palatina (Palazzo Pitti), Florence",0,0,0,
A Knight of Malta,TIZIANO Vecellio,"Galleria degli Uffizi, Florence",0,0,0,
Portrait of the Physician Gian Giacomo Bartolotti da Parma,TIZIANO Vecellio,"Kunsthistorisches Museum, Vienna",0,0,0,
Floris van Egmond,"GOSSART, Jan","Mauritshuis, The Hague",0,0,0,
Bishop Bernardo de' Rossi,"LOTTO, Lorenzo","Museo Nazionale di Capodimonte, Naples",0,0,0,
Self-Portrait,"VERONESE, Paolo","The Hermitage, St. Petersburg",0,0,0,
St Ivo,"WEYDEN, Rogier van der","National Gallery, London",0,0,0,
Woman with a Veil (La Donna Velata),RAFFAELLO Sanzio,"Galleria Palatina (Palazzo Pitti), Florence",0,0,0,
Violante (La Bella Gatta),TIZIANO Vecellio,"Kunsthistorisches Museum, Vienna",0,0,0,
Old Woman,GIORGIONE,"Gallerie dell'Accademia, Venice",0,0,0,
Portrait of a Young Man,"LOTTO, Lorenzo","Staatliche Museen, Berlin",0,0,0,
