filename,Condition,headYaw,headPitch,gazeYaw,gazePitch,LargeImageURL,rater_judgment,notes,face-orien,gaze
arcPC0001-021(S),Ukiyoe,15.69904359,46.35228563,-7.964113352,47.89927167,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Postcards/arcPC/arcPC0001/arcPC0001-021(S).jpg,plausible,,right,avert
arcUP4249,Ukiyoe,-12.71966305,17.99087477,4.7555497,22.57453713,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4249.jpg,unsure,ukiyo-e neko-me (stylized cross-eyed expression); resolved by discussion,left,avert
arcUP4461,Ukiyoe,-18.33464944,38.90383429,16.95955074,38.90383429,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4461.jpg,plausible,,left,avert
arcUP4565(F),Ukiyoe,24.46529785,-2.807493196,-18.449241,0.859436693,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4565(F).jpg,plausible,,right,avert
arcUP4574,Ukiyoe,-24.00693162,46.29498985,26.06957968,45.32096159,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4574.jpg,plausible,,left,avert
arcUP4591,Ukiyoe,21.88698777,40.5654119,-24.57988941,37.24225668,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4591.jpg,plausible,,right,avert
arcUP5244,Ukiyoe,-42.28428528,-8.479775368,34.43476349,2.062648062,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5244.jpg,plausible,,left,avert
arcUY0103,Ukiyoe,47.44090544,19.0221988,-32.08563653,16.04281826,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUY/arcUY0103.jpg,unsure,ukiyo-e neko-me (stylized cross-eyed expression); resolved by discussion,right,direct
arcUP5094(P),Ukiyoe,23.4912696,37.87251026,-29.27814333,37.87251026,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5094(P).jpg,plausible,,right,avert
arcUP6838,Ukiyoe,18.62112834,3.953408786,-13.52180397,18.90760724,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP6838.jpg,plausible,,right,avert
arcUY0185,Ukiyoe,23.43397382,44.175046,-19.93893127,40.33622878,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUY/arcUY0185.jpg,plausible,,right,avert
arcUY0212,Ukiyoe,77.29200656,-28.64788976,-53.11318761,24.69448097,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUY/arcUY0212.jpg,plausible,,left,avert
arcUY0224,Ukiyoe,24.57988941,35.46608752,-14.553128,27.33008683,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUY/arcUY0224.jpg,plausible,,right,avert
arcUP5188(P),Ukiyoe,-38.78924273,-1.833464944,29.56462223,12.83425461,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5188(P).jpg,plausible,,left,avert
arcUP5383,Ukiyoe,-43.37290509,7.964113352,35.92445375,12.37588837,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5383.jpg,plausible,,left,avert
arcUP5588,Ukiyoe,-15.46986047,3.380450991,20.16811439,4.984732818,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP5588.jpg,plausible,,left,avert
arcUP4881,Ukiyoe,4.526366582,14.09476176,-7.10467666,15.12608579,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4881.jpg,plausible,,direct,avert
arcUY0157,Ukiyoe,33.23155212,35.8098622,-20.56918485,30.53865048,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUY/arcUY0157.jpg,plausible,,right,avert
arcUY0125,Ukiyoe,41.19566547,28.47600242,-33.80450991,27.9603404,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUY/arcUY0125.jpg,unsure,ukiyo-e neko-me (stylized cross-eyed expression); resolved by discussion,right,avert
arcUY0011,Ukiyoe,31.85645341,31.74186185,-24.00693162,24.63718519,https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUY/arcUY0011.jpg,plausible,,right,avert
01amerba,Renaissance,35.58067908,18.16276211,-28.2468193,23.60586116,https://www.wga.hu/html/h/holbein/hans_y/1525/01amerba.html,plausible,,right,avert
