TITLE,candidate_name,direct_langs_found_count,direct_langs_found,all_wiki_langs_count,all_wiki_langs,timestamp_utc,exists_en,title_en,exists_it,title_it,exists_de,title_de,exists_fr,title_fr,exists_nl,title_nl,exists_es,title_es
Portrait of a Man and a Woman,A Man And A Woman,3,"en,nl,es",39,"ar,arz,az,azb,bg,ca,cs,cy,de,el,en,eo,es,et,eu,fa,fi,fr,gl,he,hu,hy,id,it,ja,ko,lb,nb,nl,pl,pt,ro,ru,sh,sr,sv,tr,uk,zh",2025-08-28T10:11:01Z,TRUE,A Man and a Woman,FALSE,,FALSE,,FALSE,,TRUE,Un homme et une femme,TRUE,A Man and a Woman
Portrait of a Man and a Woman,Portrait of,0,,0,,2025-08-28T10:11:09Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Anthony of Burgundy,Anthony of Burgundy,1,en,2,"en,nl",2025-08-28T10:11:16Z,TRUE,Anthony of Burgundy,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Anthony of Burgundy,Portrait of Anthony of Burgundy,0,,0,,2025-08-28T10:11:22Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Bindo Altoviti,Bindo Altoviti,5,"en,it,de,fr,es",5,"de,en,es,fr,it",2025-08-28T10:11:27Z,TRUE,Bindo Altoviti,TRUE,Bindo Altoviti,TRUE,Bindo Altoviti,TRUE,Bindo Altoviti,FALSE,,TRUE,Bindo Altoviti
Portrait of Bindo Altoviti,Portrait of Bindo Altoviti,1,en,16,"ar,arz,ca,en,eo,es,fr,hy,it,ja,nl,pl,ru,sk,sv,uk",2025-08-28T10:11:33Z,TRUE,Portrait of Bindo Altoviti,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Bonifacius Amerbach,Bonifacius Amerbach,3,"en,de,fr",10,"arz,de,el,en,eo,es,fi,fr,gsw,la",2025-08-28T10:11:39Z,TRUE,Bonifacius Amerbach,FALSE,,TRUE,Bonifacius Amerbach,TRUE,Bonifacius Amerbach,FALSE,,FALSE,
Portrait of Bonifacius Amerbach,Portrait of Bonifacius Amerbach,1,en,3,"en,es,ja",2025-08-28T10:11:45Z,TRUE,Portrait of Bonifacius Amerbach,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Derick Berck of Cologne,Derick Berck of Cologne,0,,0,,2025-08-28T10:11:52Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Man with the Blue Sleeve,The Blue Sleeve,0,,0,,2025-08-28T10:11:59Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Baldassare Castiglione,Baldassare Castiglione,6,"en,it,de,fr,nl,es",44,"ar,arz,azb,bg,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,frp,he,hr,hu,hy,id,it,ja,ko,la,lmo,nb,nl,nn,os,pl,pms,pt,ro,ru,sk,sr,sv,uk,zh",2025-08-28T10:12:03Z,TRUE,Baldassare Castiglione,TRUE,Baldassarre Castiglione,TRUE,Baldassare Castiglione,TRUE,Baldassare Castiglione,TRUE,Baldassare Castiglione,TRUE,Baltasar Castiglione
Portrait of Baldassare Castiglione,Portrait of Baldassare Castiglione,1,en,18,"ar,arz,az,ca,en,eo,es,fr,it,ja,la,mk,nl,pl,pt,ru,sv,th",2025-08-28T10:12:09Z,TRUE,Portrait of Baldassare Castiglione,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dürer's Father at 70,Dürer's Father,0,,0,,2025-08-28T10:12:16Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dürer's Father at 70,Portrait of Dürer's Father,0,,0,,2025-08-28T10:12:22Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Man (Guillaume Fillastre?),A Man,2,"en,fr",8,"azb,de,el,en,fr,it,pt,sr",2025-08-28T10:12:28Z,TRUE,A Man,FALSE,,FALSE,,TRUE,A Man,FALSE,,FALSE,
Portrait of a Man (Guillaume Fillastre?),Portrait of,0,,0,,2025-08-28T10:12:35Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Lady as Lucretia,A Lady As Lucretia,0,,0,,2025-08-28T10:12:42Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Lady as Lucretia,Portrait of,0,,0,,2025-08-28T10:12:49Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Hans Luther (detail),Hans Luther,6,"en,it,de,fr,nl,es",52,"af,ar,arz,az,be,be-tarask,bg,ca,cs,da,de,diq,el,en,eo,es,eu,fa,fi,fr,he,hr,hu,id,is,it,ja,ka,kaa,ko,la,mk,nb,nds,nl,pl,pnb,pt,ru,sh,simple,sr,sv,th,tr,tum,uk,uz,vi,wuu,yo,zh",2025-08-28T10:12:53Z,TRUE,Hans Luther,TRUE,Hans Luther,TRUE,Hans Luther,TRUE,Hans Luther,TRUE,Hans Luther,TRUE,Hans Luther
Portrait of Hans Luther (detail),Portrait of Hans Luther,0,,0,,2025-08-28T10:12:59Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Margaretha Luther (detail),Margaretha Luther,1,de,3,"da,de,en",2025-08-28T10:13:06Z,FALSE,,FALSE,,TRUE,Hans Luder (Hüttenmeister),FALSE,,FALSE,,FALSE,
Portrait of Margaretha Luther (detail),Portrait of Margaretha Luther,0,,0,,2025-08-28T10:13:12Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Barbara Dürer,Barbara Dürer,2,"de,fr",5,"de,eo,fr,ru,uk",2025-08-28T10:13:18Z,FALSE,,FALSE,,TRUE,Barbara Dürer,TRUE,Barbara Dürer,FALSE,,FALSE,
Portrait of Barbara Dürer,Portrait of Barbara Dürer,0,,0,,2025-08-28T10:13:25Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Pope Julius II,Pope Julius II,1,en,87,"af,ar,arz,ast,be,be-tarask,bg,br,bs,ca,cdo,co,cs,cv,cy,da,de,diq,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gl,gsw,hak,he,hr,hu,id,ilo,io,it,ja,jv,ka,ko,ku,la,lt,lv,lzh,mg,mk,mr,ms,nan,nb,nds,nl,oc,pl,pms,pt,qu,ro,ru,scn,sco,sh,simple,sk,sl,sq,sr,sv,sw,th,tl,tr,uk,ur,vec,vi,vls,war,wuu,xmf,yo,yue,zh",2025-08-28T10:13:32Z,TRUE,Pope Julius II,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Pope Julius II,Julius II,4,"en,fr,nl,es",87,"af,ar,arz,ast,be,be-tarask,bg,br,bs,ca,cdo,co,cs,cv,cy,da,de,diq,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gl,gsw,hak,he,hr,hu,id,ilo,io,it,ja,jv,ka,ko,ku,la,lt,lv,lzh,mg,mk,mr,ms,nan,nb,nds,nl,oc,pl,pms,pt,qu,ro,ru,scn,sco,sh,simple,sk,sl,sq,sr,sv,sw,th,tl,tr,uk,ur,vec,vi,vls,war,wuu,xmf,yo,yue,zh",2025-08-28T10:13:36Z,TRUE,Pope Julius II,FALSE,,FALSE,,TRUE,JVLIVS II,TRUE,Paus Julius II,TRUE,Julio II
Portrait of Pope Julius II,Portrait of Pope Julius II,1,en,16,"az,ca,de,en,eo,es,fr,he,it,ja,la,pl,pt,sl,sv,zh",2025-08-28T10:13:43Z,TRUE,Portrait of Pope Julius II,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Jean Carondelet,Jean Carondelet,2,"en,fr",5,"ar,arz,en,fr,nl",2025-08-28T10:13:49Z,TRUE,Jean Carondelet,FALSE,,FALSE,,TRUE,Famille Carondelet,FALSE,,FALSE,
A Prince of Saxony,Prince of Saxony,0,,0,,2025-08-28T10:13:56Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
A Princess of Saxony,Princess of Saxony,0,,0,,2025-08-28T10:14:02Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Saxon Prince,A Saxon Prince,0,,0,,2025-08-28T10:14:09Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Saxon Prince,Portrait of,0,,0,,2025-08-28T10:14:15Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Saxon Prince,Saxon Prince,1,en,3,"de,en,fa",2025-08-28T10:14:22Z,TRUE,SS Glitra,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Sir Richard Southwell,Sir Richard Southwell,1,en,7,"arz,azb,de,en,fr,mg,pt",2025-08-28T10:14:29Z,TRUE,Richard V. Southwell,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Venetian Woman,A Young Venetian Woman,0,,0,,2025-08-28T10:14:35Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Venetian Woman,Portrait of,0,,0,,2025-08-28T10:14:42Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Venetian Woman,Young Venetian Woman,0,,0,,2025-08-28T10:14:48Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Woman,A Woman,4,"en,it,fr,es",14,"bn,de,en,es,fr,it,ja,ko,nl,pt,ru,sk,sv,zh",2025-08-28T10:14:54Z,TRUE,Woman (disambiguation),TRUE,A Woman,FALSE,,TRUE,Mam'zelle Charlot,FALSE,,TRUE,A Woman
Portrait of a Woman,Portrait of,0,,0,,2025-08-28T10:15:00Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Clean-Shaven Young Man,A Clean,0,,0,,2025-08-28T10:15:07Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Clean-Shaven Young Man,Portrait of,0,,0,,2025-08-28T10:15:13Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Man,A Young Man,0,,0,,2025-08-28T10:15:20Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Man,Portrait of,0,,0,,2025-08-28T10:15:26Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Man,Young Man,1,en,1,en,2025-08-28T10:15:33Z,TRUE,Young Man,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Woman,A Young Woman,0,,0,,2025-08-28T10:15:40Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Woman,Portrait of,0,,0,,2025-08-28T10:15:47Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a Young Woman,Young Woman,1,en,208,"af,am,an,ang,anp,ar,arc,ary,arz,as,ast,atj,awa,ay,az,azb,ba,bar,bcl,be,be-tarask,bew,bg,bh,bjn,bn,bo,br,bs,btm,bxr,ca,cdo,ce,ceb,cho,chr,ckb,co,cs,cu,cv,cy,da,de,diq,dsb,dty,el,en,eo,es,et,eu,ext,fa,fi,fj,fo,fon,fr,frp,fur,fy,ga,gan,gcr,gd,gl,gn,gsw,gu,guc,ha,hak,he,hi,hif,hr,hsb,ht,hu,hy,ia,iba,id,ie,ilo,inh,io,is,it,ja,jam,jbo,jv,ka,kcg,kge,kk,kn,knc,ko,krc,ks,ksh,ku,kv,kw,la,lb,lfn,li,lij,lmo,ln,lt,ltg,lv,lzh,mad,mai,map-bms,mg,mhr,min,mk,ml,mn,mr,ms,mt,my,myv,nan,nb,nds,nds-nl,ne,new,nl,nn,nrm,oc,pa,pcd,pcm,pdc,pl,pms,pnb,ps,pt,qu,rn,ro,ru,rue,rup,sah,sat,sc,scn,sco,sd,sgs,sh,si,simple,sk,skr,sl,sn,so,sq,sr,sv,sw,szy,ta,tay,te,tg,th,tk,tl,tn,tr,ts,tt,tyv,uk,ur,uz,vep,vi,vls,vro,wa,war,wo,wuu,xmf,yi,yo,yue,za,zh",2025-08-28T10:15:53Z,TRUE,Woman,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Jacques of Savoy,Jacques of Savoy,1,en,14,"arz,bg,cs,de,el,en,es,fr,it,ja,nl,pt,ru,sl",2025-08-28T10:16:00Z,TRUE,"Jacques de Savoie, Duke of Nemours",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Jacques of Savoy,Portrait of Jacques of Savoy,0,,0,,2025-08-28T10:16:07Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a White-Bearded Man,A White,0,,0,,2025-08-28T10:16:14Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of a White-Bearded Man,Portrait of,0,,0,,2025-08-28T10:16:20Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dr. Johannes Cuspinian (detail),Dr. Johannes Cuspinian,0,,0,,2025-08-28T10:16:27Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dr. Johannes Cuspinian (detail),Portrait of,0,,0,,2025-08-28T10:16:34Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dr. Johannes Cuspinian (detail),Johannes Cuspinian,3,"en,it,de",9,"arz,cs,de,en,fr,it,la,ru,sl",2025-08-28T10:16:39Z,TRUE,Johannes Cuspinian,TRUE,Johannes Cuspinian,TRUE,Johannes Cuspinian,FALSE,,FALSE,,FALSE,
Portrait of Anna Cuspinian,Anna Cuspinian,0,,0,,2025-08-28T10:16:46Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Anna Cuspinian,Portrait of Anna Cuspinian,0,,0,,2025-08-28T10:16:52Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dürer's Father,Dürer's Father,0,,0,,2025-08-28T10:16:59Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Dürer's Father,Portrait of Dürer's Father,0,,0,,2025-08-28T10:17:06Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Simon George,Simon George,0,,0,,2025-08-28T10:17:13Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
