filename,Condition,headYaw,headPitch,gazeYaw,gazePitch,confidence,emotion_index,gaze_yaw,gaze_pitch,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AUTHOR,BORN.DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME,date,candidate_name,direct_langs_found_count,direct_langs_found,all_wiki_langs_count,all_wiki_langs,timestamp_utc,exists_en,title_en,exists_it,title_it,exists_de,title_de,exists_fr,title_fr,exists_nl,title_nl,exists_es,title_es,Search,Hits,Success,ERROR,Date
00portr1,Renaissance,60.1032727092234,36.4974115498334,-40.1643414386707,32.8877774405093,0.875,0,-0.197172343730927,0.153603985905647,0.00965792126953602,0.00287721189670265,0,0,0,0,0.934309184551239,0,"LIPPI, Fra Filippo","(b. 1406, Firenze, d. 1469, Spoleto)",Portrait of a Man and a Woman,c. 1440,"Tempera on wood, 64 x 42 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/l/lippi/filippo/1440/00portr1.html,painting,portrait,Italian,1401-1450,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Portrait of a Man and a Woman"" LIPPI, Fra Filippo Metropolitan Museum of Art, New York",5610,ok,NA,2025-08-28T08:44:01Z
0149burg,Renaissance,21.8296919944844,13.3499166265482,-15.8709309251238,18.1627621056471,0.975,0,-0.0779648423194885,0.229188904166222,0.132391378283501,0.0416222512722015,0.0178690180182457,0,0,0,0.00461008120328188,0.00387168233282864,"MEMLING, Hans","(b. ca. 1440, Seligenstadt, d. 1494, Bruges)",Portrait of Anthony of Burgundy,1467-70,"Oil on 45 x 35,5 cm","Gemäldegalerie, Dresden",https://www.wga.hu/html/m/memling/6copies/0149burg.html,painting,portrait,Flemish,1451-1500,1467,Anthony of Burgundy,1,en,2,"en,nl",2025-08-28T14:08:40Z,TRUE,Anthony of Burgundy,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,"""Portrait of Anthony of Burgundy"" MEMLING, Hans Gemäldegalerie, Dresden",38,ok,NA,2025-08-28T08:44:02Z
01altovi,Renaissance,-26.1841712374786,21.9442835535105,13.235325067522,24.4080020725731,0.975,5,-0.136178582906723,0.126954942941666,0.0138944033533335,0.00662404904142022,0,0,0,0,0.00960901658982038,0,RAFFAELLO Sanzio,"(b. 1483, Urbino, d. 1520, Roma)",Portrait of Bindo Altoviti,1512-15,"Oil on wood, 60 x 44 cm","National Gallery of Art, Washington",https://www.wga.hu/html/r/raphael/5roma/2/01altovi.html,painting,portrait,Italian,1501-1550,1512,Bindo Altoviti,5,"en,it,de,fr,es",5,"de,en,es,fr,it",2025-08-28T14:08:51Z,TRUE,Bindo Altoviti,TRUE,Bindo Altoviti,TRUE,Bindo Altoviti,TRUE,Bindo Altoviti,FALSE,,TRUE,Bindo Altoviti,"""Portrait of Bindo Altoviti"" RAFFAELLO Sanzio National Gallery of Art, Washington",460,ok,NA,2025-08-28T08:44:03Z
01amerba,Renaissance,35.5806790776241,18.1627621056471,-28.2468192999496,23.6058611593899,0.875,6,-0.148638755083084,0.108155325055122,0.00207347678951919,0,0.109836719930172,8.33019148558378e-4,0,7.48504069633782e-4,0.00570212211459875,0,"HOLBEIN, Hans the Younger","(b. 1497, Augsburg, d. 1543, London)",Portrait of Bonifacius Amerbach,1519,"Oil on pinewood, 29 x 27 cm","Kunstmuseum, Öffentliche Kunstsammlung, Basel",https://www.wga.hu/html/h/holbein/hans_y/1525/01amerba.html,painting,portrait,German,1501-1550,1519,Bonifacius Amerbach,3,"en,de,fr",10,"arz,de,el,en,eo,es,fi,fr,gsw,la",2025-08-28T14:09:03Z,TRUE,Bonifacius Amerbach,FALSE,,TRUE,Bonifacius Amerbach,TRUE,Bonifacius Amerbach,FALSE,,FALSE,,"""Portrait of Bonifacius Amerbach"" HOLBEIN, Hans the Younger Kunstmuseum, Öffentliche Kunstsammlung, Basel",34,ok,NA,2025-08-28T08:44:04Z
01berck,Renaissance,7.84952179329228,32.0856365273261,-5.61498639228207,31.8564534092738,0.925,7,-0.228066295385361,-0.0276695415377617,0.0134540563449264,0.00225528026930988,0.0440926402807236,0.0398630127310753,0.0367703810334206,0.0772535353899002,0.439609974622726,0.0471328087151051,"HOLBEIN, Hans the Younger","(b. 1497, Augsburg, d. 1543, London)",Derick Berck of Cologne,1536,"Oil on canvas transferred from panel, 53 x 41 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/h/holbein/hans_y/1543/01berck.html,painting,portrait,German,1501-1550,1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Derick Berck of Cologne"" HOLBEIN, Hans the Younger Metropolitan Museum of Art, New York",85,ok,NA,2025-08-28T08:44:05Z
01bluesl,Renaissance,-36.898482006425,16.8449591768462,26.2987627965048,24.2361147340338,0.975,0,-0.115457236766815,0.00700867082923651,0.0393877848982811,0.0193772166967392,0.00252400431782007,3.75538918888196e-4,0,0,0.180460780858994,0.055143803358078,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",Man with the Blue Sleeve,c. 1510,"Oil on canvas, 85 x 70 cm","National Gallery, London",https://www.wga.hu/html/t/tiziano/10/21/01bluesl.html,painting,portrait,Italian,1501-1550,1510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Man with the Blue Sleeve"" TIZIANO Vecellio National Gallery, London",34,ok,NA,2025-08-28T08:44:06Z
01castig,Renaissance,16.1574098226892,20.5691848451966,-7.39115555718762,21.8296919944844,0.925,0,-0.0349180586636066,-0.123205572366714,0.00713848741725087,0.00802438985556364,0.00696935877203941,8.29398632049561e-4,0,0.00525593664497137,0.00893684662878513,0.0195878148078918,RAFFAELLO Sanzio,"(b. 1483, Urbino, d. 1520, Roma)",Portrait of Baldassare Castiglione,1514-15,"Oil on canvas, 82 x 67 cm","Musée du Louvre, Paris",https://www.wga.hu/html/r/raphael/5roma/3/01castig.html,painting,portrait,Italian,1501-1550,1514,Baldassare Castiglione,6,"en,it,de,fr,nl,es",44,"ar,arz,azb,bg,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,frp,he,hr,hu,hy,id,it,ja,ko,la,lmo,nb,nl,nn,os,pl,pms,pt,ro,ru,sk,sr,sv,uk,zh",2025-08-28T14:09:26Z,TRUE,Baldassare Castiglione,TRUE,Baldassarre Castiglione,TRUE,Baldassare Castiglione,TRUE,Baldassare Castiglione,TRUE,Baldassare Castiglione,TRUE,Baltasar Castiglione,"""Portrait of Baldassare Castiglione"" RAFFAELLO Sanzio Musée du Louvre, Paris",721,ok,NA,2025-08-28T08:44:08Z
01father,Renaissance,26.470650135044,26.8144248121225,-11.1726770050511,31.283495614143,0.975,6,-0.140436083078384,0.0891560614109039,0.0327892936766148,0.0866169631481171,0.00347134843468666,3.47571214661002e-4,0,0.00102666451130062,0.0158401932567358,0.0083203911781311,"DÜRER, Albrecht","(b. 1471, Nürnberg, d. 1528, Nürnberg)",Portrait of Dürer's Father at 70,1497,"Oil on panel, 51 x 40 cm","National Gallery, London",https://www.wga.hu/html/d/durer/1/02/01father.html,painting,portrait,German,1501-1550,1497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Portrait of Dürer's Father at 70"" DÜRER, Albrecht National Gallery, London",35,ok,NA,2025-08-28T08:44:09Z
01fillas1,Renaissance,23.3193822618245,17.7043958695424,-18.9649030188302,19.4232692549349,0.975,0,-0.0637092590332031,0.327154576778412,0.197723686695099,0.290165960788727,0,0,0,0,8.64553112478461e-6,0.00126926135271788,"WEYDEN, Rogier van der","(b. 1400, Tournai, d. 1464, Bruxelles)",Portrait of a Man (Guillaume Fillastre?),1440s,"Oil on panel, 33,7 x 23 cm","Courtauld Gallery, London",https://www.wga.hu/html/w/weyden/rogier/16portra/01fillas1.html,painting,portrait,Flemish,1401-1450,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Portrait of a Man (Guillaume Fillastre?)"" WEYDEN, Rogier van der Courtauld Gallery, London",8,ok,NA,2025-08-28T08:44:10Z
01henry8,Renaissance,-20.4545932861704,22.0015793330236,13.6936913036267,32.4867069839177,0.975,0,-0.134900540113449,0.0152838658541441,0,0,0,0,0,0,3.87212145142257e-4,0,"HOLBEIN, Hans the Younger","(b. 1497, Augsburg, d. 1543, London)",Portrait of Henry VIII,1536,"Oil on wood, 28 x 19 cm","Museo Thyssen-Bornemisza, Madrid",https://www.wga.hu/html/h/holbein/hans_y/1535h/01henry8.html,painting,portrait,German,1501-1550,1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
